Well,Sample_ID,Apiary_ID,Content,Cq,SQ,Melt Temp
A12,cDNA control (WATER),CW_Maxwell,Neg Ctrl,,,None
A01,CL_Bull_091520_F1,CL_Bull,Unkn,30.62759226,41.45830253,82
A10,CL_Bull_091520_F10,CL_Bull,Unkn,34.91316385,5.299322338,82
A02,CL_Bull_091520_F2,CL_Bull,Unkn,32.2900644,18.66570752,82.5
A03,CL_Bull_091520_F3,CL_Bull,Unkn,36.11243625,2.979985531,None
A04,CL_Bull_091520_F4,CL_Bull,Unkn,36.57173322,2.390379555,None
E06,CL_Bull_091520_F5,CL_Bull,Unkn,36.34507729,2.665119379,73
A06,CL_Bull_091520_F6,CL_Bull,Unkn,35.62864379,3.758961643,83
A07,CL_Bull_091520_F7,CL_Bull,Unkn,34.20833266,7.432807519,82
A08,CL_Bull_091520_F8,CL_Bull,Unkn,33.40411248,10.93464163,82.5
A09,CL_Bull_091520_F9,CL_Bull,Unkn,,,None
A11,CL_Bull_091520_GITC-Control,CL_Bull,Neg Ctrl,,,None
B11,CL_Bull_092420_control,CL_Bull,Neg Ctrl,,,None
B01,CL_Bull_092420_F1,CL_Bull,Unkn,34.69192584,5.893057688,82
B10,CL_Bull_092420_F10,CL_Bull,Unkn,35.2683359,4.468681841,82.5
B02,CL_Bull_092420_F2,CL_Bull,Unkn,31.48410962,27.48259417,82
B03,CL_Bull_092420_F3,CL_Bull,Unkn,27.55015567,181.6138534,82
B04,CL_Bull_092420_F4,CL_Bull,Unkn,32.12895741,20.16645706,82.5
B05,CL_Bull_092420_F5,CL_Bull,Unkn,38.31921383,1.033186028,None
B06,CL_Bull_092420_F6,CL_Bull,Unkn,32.35561405,18.08754631,82.5
B07,CL_Bull_092420_F7,CL_Bull,Unkn,35.2042313,4.608323872,82
B08,CL_Bull_092420_F8,CL_Bull,Unkn,34.12243522,7.745678862,82
B09,CL_Bull_092420_F9,CL_Bull,Unkn,33.74442463,9.286700098,82
A12,CL-cDNA control,CL_Bull,Neg Ctrl,,,None
B12,CL-cDNA control2,CL_Bull,Neg Ctrl,,,None
F11,CN_Oddy_091420_C (A11),,Neg Ctrl,,,None
,CN_Oddy_091420_F1,CN_Oddy,Unkn,,48.70523,82
,CN_Oddy_091420_F10,CN_Oddy,Unkn,,28.86744,81.75
,CN_Oddy_091420_F11,CN_Oddy,Unkn,,13.39715,82
,CN_Oddy_091420_F12,CN_Oddy,Unkn,,18.48904,82.125
,CN_Oddy_091420_F13,CN_Oddy,Unkn,,333.9763593,82
,CN_Oddy_091420_F14,CN_Oddy,Unkn,,63.09730998,81.91666667
,CN_Oddy_091420_F15,CN_Oddy,Unkn,,81.4379868,82
,CN_Oddy_091420_F16,CN_Oddy,Unkn,,,None
,CN_Oddy_091420_F17,CN_Oddy,Unkn,,21.01788533,82
,CN_Oddy_091420_F18,CN_Oddy,Unkn,,14.70696364,82
,CN_Oddy_091420_F19,CN_Oddy,Unkn,,,None
,CN_Oddy_091420_F2,CN_Oddy,Unkn,,286.1534443,81.75
,CN_Oddy_091420_F20,CN_Oddy,Unkn,,,None
,CN_Oddy_091420_F3,CN_Oddy,Unkn,,77.60365939,82
,CN_Oddy_091420_F4,CN_Oddy,Unkn,,22.53700496,81.25
,CN_Oddy_091420_F5,CN_Oddy,Unkn,,,None
,CN_Oddy_091420_F6,CN_Oddy,Unkn,,154.21971,82
,CN_Oddy_091420_F7,CN_Oddy,Unkn,,24.71531591,82
,CN_Oddy_091420_F8,CN_Oddy,Unkn,,,None
,CN_Oddy_091420_F9,CN_Oddy,Unkn,,18.03677577,82.08333333
A11,CW_Maxwell_091020_Control,CW_Maxwell,Neg Ctrl,36.37822448,3.089617801,None
A01,CW_Maxwell_091020_F1,CW_Maxwell,Unkn,39.43945119,0.576217137,None
A10,CW_Maxwell_091020_F10,CW_Maxwell,Unkn,28.2681763,264.2860644,82
A02,CW_Maxwell_091020_F2,CW_Maxwell,Unkn,31.65861306,41.14559885,81.5
