Apiary_ID,Varroa_Load
BD_Marble,6.96
BD_Marble,3.03
BD_Marble,1.8
BD_Marble,6.88
CI_Burns,0.43
CI_Burns,4.15
CI_Burns,0.58
CI_Burns,5.96
CL_Bull,11.65
CL_Bull,11.85
CL_Bull,6.77
CL_Bull,5.64
CN_Oddy,2.25
CN_Oddy,8.41
CN_Oddy,33.51
CN_Oddy,18.17
CN_Oddy,16.98
CN_Oddy,14.09
CN_Mary,3.27
CN_Mary,7.95
CN_Mary,8.67
CN_Mary,30.98
CN_Mary,12.69
CN_Mary,22.02
CN_Mary,13.42
CN_Mary,1.62
CN_Mary,3.8
CN_Mary,23.75
CW_Maxwell,0.79
CW_Maxwell,1.27
CW_Maxwell,2.79
CW_Maxwell,0
EK_Daniels,5.49
EK_Daniels,5.13
EK_Daniels,2.36
EK_Daniels,2.39
FW_Huggins,0.96
FW_Huggins,6.27
FW_Huggins,3
FW_Huggins,2.62
FW_Huggins,2.62
FW_Huggins,1.86
FW_Huggins,1.77
FW_Huggins,0.84
HG_Home,1.46
HG_Home,0.34
HG_Home,1.42
HG_Home,0.33
HG_Home,2.33
HG_Home,4.19
HG_Home,1.85
HG_Home,4.95
HG_Home,2.59
HG_Home,2.55
HG_School,8.49
HG_School,3.47
HG_School,12.28
HG_School,5.14
HG_School,8.16
HG_School,8.42
HG_School,2.24
HG_School,1.65
HG_School,2.55
HG_School,1.24
KC_Domes,14.11
KC_Domes,23.23
KC_Domes,0.54
KC_Domes,8.57
KI2_Stowe,4.53
KI2_Stowe,4.9
KI2_Stowe,3.43
KI2_Stowe,4.98
LT_Grange,0.55
LT_Grange,9.92
LT_Grange,3.92
LT_Grange,7.81
LT_Grange,1.15
LT_Grange,1.26
LT_Grange,6.11
LT_Grange,3.05
LT_Grange,4.45
LT_Grange,2.4
LT_Waterville,4.28
LT_Waterville,5.43
LT_Waterville,2.64
LT_Waterville,4.58
LT_Waterville,2.22
LT_Waterville,0.88
LT_Waterville,2.63
LT_Waterville,0.36
LT_Waterville,0.92
LT_Waterville,6.32
MM_Swede,4.59
MM_Swede,8.57
MM_Swede,12.38
MM_Swede,2.21
NG_Ball_Rd,2.62
NG_Ball_Rd,2.35
NG_Ball_Rd,0.98
NG_Ball_Rd,0
QG_Johnson,1.97
QG_Johnson,0.66
QG_Johnson,0
QG_Johnson,0.36
QG_Johnson,1.47
QG_Johnson,0
QG_Johnson,1.11
QG_Johnson,2.29
QG_Johnson,0.37
QG_Johnson,0.62
QG_Miller,1.19
QG_Miller,0
QG_Miller,3.82
QG_Miller,1.76
QG_Miller,1.87
QG_Miller,0
QG_Miller,0.63
QG_Miller,1.5
QG_Miller,1.6
QG_Miller,0.34
QN_Millers,3.49
QN_Millers,1.57
QN_Millers,2.7
QN_Millers,4.56
QN_Millers,0
QN_Millers,1.25
QN_Millers,0
QN_Millers,0.34
QN_Millers,2.62
QN_Millers,0
QN_Rock,0.31
QN_Rock,1.45
QN_Rock,1.79
QN_Rock,5.29
QN_Rock,0.37
QN_Rock,4.57
QN_Rock,4.14
QN_Rock,0.31
QN_Rock,1.07
QN_Rock,1.85
TD_Home_Yard,3.02
TD_Home_Yard,8.74
TD_Home_Yard,1
TD_Home_Yard,17.65
TD_Home_Yard,3.42
TD_Home_Yard,5.75
TD_Home_Yard,16.69
TD_Home_Yard,3.58
TD_Home_Yard,6.48
TD_Home_Yard,3.78
TI_Mills,4.12
TI_Mills,0
TI_Mills,0.32
TI_Mills,0
TN_Domes,9.11
TN_Domes,2.87
TN_Domes,3.04
TN_Domes,5.16
UQ_Cotes,0.56
UQ_Cotes,0.44
UQ_Cotes,0.59
UQ_Cotes,1.08
UT_Home_Yard,0.72
UT_Home_Yard,0
UT_Home_Yard,0
UT_Home_Yard,1.22
XQ_CR-142,2.89
XQ_CR-142,0.99
XQ_CR-142,3.37
XQ_CR-142,0.82
XQ_CR-142,6.91
XQ_CR-142,3.54
XQ_CR-142,4.03
XQ_CR-142,3.63
XQ_CR-142,3.09
XQ_CR-142,3.86
XQ_Kingtown_Beach,0.32
XQ_Kingtown_Beach,1.83
XQ_Kingtown_Beach,0.7
XQ_Kingtown_Beach,0
XQ_Kingtown_Beach,1.16
XQ_Kingtown_Beach,0.63
XQ_Kingtown_Beach,0.66
XQ_Kingtown_Beach,0.38
XQ_Kingtown_Beach,0.86
XQ_Kingtown_Beach,0.41
